Team,RB #1,RB #2,RB #3,RB #4,RB #5
Bears,David Montgomery,Tarik Cohen,Ryan Nall,Artavis Pierce,Cordarrelle Patterson
Bengals,Joe Mixon,Giovani Bernard,Trayveon Williams,Samaje Perine,Jacques Patrick
Bills,Devin Singletary,Zack Moss,T.J. Yeldon,Taiwan Jones,Christian Wade
Broncos,Melvin Gordon,Phillip Lindsay,Royce Freeman,LeVante Bellamy,
Browns,Nick Chubb,Kareem Hunt,Dontrell Hilliard,D'Ernest Johnson,Ben LeMay
Cardinals,Kenyan Drake,Chase Edmonds,Eno Benjamin,D.J. Foster,Jonathan Ward
Cowboys,Ezekiel Elliott,Tony Pollard,Rico Dowdle,Darius Anderson,
Falcons,Todd Gurley,Ito Smith,Brian Hill,Qadree Ollison,Craig Reynolds
Panthers,Christian McCaffrey,Mike Davis,Reggie Bonnafon,Trenton Cannon,
Ravens,Mark Ingram,J.K. Dobbins,Gus Edwards,Justice Hill,Kenjon Barner