Team,TE #1,TE #2,TE #3,TE #4,TE #5
Bears,Jimmy Graham,Cole Kmet,Demetrius Harris,Jesper Horsted,Eric Saubert
Bengals,C.J. Uzomah,Drew Sample,Cethan Carter,Mason Schreck,Jordan Franks
Bills,Dawson Knox,Tyler Kroft,Lee Smith,Tommy Sweeney,Jason Croom
Broncos,Noah Fant,Nick Vannett,Albert Okwuegbunam,Jake Butt,Troy Fumagalli
Browns,Austin Hooper,David Njoku,Harrison Bryant,Pharaoh Brown,Stephen Carlson
Cardinals,Maxx Williams,Dan Arnold,Darrell Daniels,Dylan Cantrell,
Cowboys,Blake Jarwin,Dalton Schultz,Blake Bell,Cole Hikutini,Charlie Taumoepeau
Falcons,Hayden Hurst,Khari Lee,Jaeden Graham,Luke Stocker,Jared Pinkney
Panthers,Ian Thomas,Chris Manhertz,Temarrick Hemingway,Colin Thompson,Giovanni Ricci
Ravens,Mark Andrews,Nick Boyle,Eli Wolf,Jerell Adams,