"Rank","Tier","Wide Receivers","Team","Bye","Num Experts","ECR","ADP"
"1","undefined","Skyy Moore","KC","10","35","53","53"
"2","undefined","Michael Gallup","DAL","7","12","63","62"
"3","undefined","Odell Beckham Jr.","BAL","13","9","59","46"
"4","undefined","Adam Thielen","CAR","7","7","60","54"
"5","undefined","John Metchie III","HOU","7","9","73","70"
"6","undefined","Romeo Doubs","GB","6","9","61","55"
"7","undefined","Jonathan Mingo","CAR","7","8","69","67"
"8","undefined","Isaiah Hodgins","NYG","13","7","70","79"
"9","undefined","K.J. Osborn","MIN","13","6","65","68"
"10","undefined","Marvin Mims Jr.","DEN","9","7","81","72"
"11","undefined","Jayden Reed","GB","6","8","78","78"
"12","undefined","Van Jefferson","LAR","10","5","71","71"
"13","undefined","Terrace Marshall Jr.","CAR","7","4","90","96"
"14","undefined","Rashid Shaheed","NO","11","4","67","74"
"15","undefined","Tyler Boyd","CIN","7","5","55","59"
"16","undefined","Zay Jones","JAC","9","3","58","65"
"17","undefined","Darius Slayton","NYG","13","3","75","89"
"18","undefined","Rashee Rice","KC","10","4","82","66"
"19","undefined","Richie James Jr.","KC","10","4","94","92"
"20","undefined","Parris Campbell","NYG","13","5","77","73"
"21","undefined","Robert Woods","HOU","7","5","83","87"
"22","undefined","DJ Chark Jr.","CAR","7","3","62","64"
"23","undefined","Jalin Hyatt","NYG","13","3","88","56"
"24","undefined","Donovan Peoples-Jones","CLE","5","3","64","61"
"25","undefined","Wan'Dale Robinson","NYG","13","3","76","81"
"26","undefined","Alec Pierce","IND","11","3","66","69"
"27","undefined","Justyn Ross","KC","10","5","110","76"
"28","undefined","Puka Nacua","LAR","10","5","109","98"
"29","undefined","Tyquan Thornton","NE","11","2","85","99"
"30","undefined","Greg Dortch","ARI","14","2","113","107"
"31","undefined","DeVante Parker","NE","11","1","79","85"
"32","undefined","Corey Davis","NYJ","7","1","91","104"
"33","undefined","Michael Wilson","ARI","14","1","111","95"
"34","undefined","Allen Robinson II","PIT","6","1","86","94"
"35","undefined","Curtis Samuel","WAS","14","1","68","82"
"36","undefined","Tim Patrick","DEN","9","1","115","100"
"37","undefined","Chase Claypool","CHI","13","1","80","84"
"38","undefined","Deonte Harty","BUF","13","1","121",""
"39","undefined","Cedric Tillman","CLE","5","1","107","103"
"40","undefined","Marquez Valdes-Scantling","KC","10","1","74","77"
"41","undefined","Hunter Renfrow","LV","13","1","72","80"
"42","undefined","Laviska Shenault Jr.","CAR","7","1","104",""
"43","undefined","Khalil Shakir","BUF","13","2","93","97"
"44","undefined","Marvin Jones Jr.","DET","9","1","96","105"
"45","undefined","Russell Gage","TB","5","1","92",""
"46","undefined","Kayshon Boutte","NE","11","1","106",""
""
""