Team,QB #1,QB #2,QB #3,QB #4,QB #5
Bears,Mitchell Trubisky,Nick Foles,Tyler Bray,,
Bengals,Joe Burrow,Ryan Finley,Brandon Allen,Jacob Dolegala,
Bills,Josh Allen,Matt Barkley,Jake Fromm,Davis Webb,
Broncos,Drew Lock,Jeff Driskel,Brett Rypien,,
Browns,Baker Mayfield,Case Keenum,Garrett Gilbert,Kevin Davidson,
Cardinals,Kyler Murray,Brett Hundley,Chris Streveler,,
Cowboys,Dak Prescott,Andy Dalton,Ben DiNucci,Clayton Thorson,
Falcons,Matt Ryan,Matt Schaub,Kurt Benkert,,
Panthers,Teddy Bridgewater,Will Grier,P.J. Walker,,
Ravens,Lamar Jackson,Robert Griffin,Trace McSorley,Tyler Huntley,